Age,Gender,House_size,State,Time,Y_Actual,state_impact,spend,Y_RN
57,1,596,FL,17:32.8,0,1,0.171434334,0.9
49,0,936,CA,02:12.5,0,5,0.175826611,0.54
58,1,1209,NY,16:37.8,0,5,0.34441045,0.88
43,0,2561,TX,18:48.9,0,1,0.669241086,0.8
55,0,1289,IL,47:56.4,0,1,0.377300825,0.68
51,1,2076,TX,20:20.3,0,1,0.997938812,0.53
52,0,1736,CA,59:50.5,0,5,0.573804601,0.05
59,1,2968,TX,27:54.1,1,1,0.456814856,0.58
60,1,2888,IL,07:06.4,1,1,0.353355781,0.52
45,1,2122,CA,30:26.4,0,5,0.484053493,0.69
59,1,2694,CA,34:58.9,0,5,0.657595261,0.81
58,1,709,TX,04:24.1,1,1,0.144125956,0.34
56,0,571,TX,52:42.1,0,1,0.432335006,0.93
58,0,2437,IL,02:19.0,0,1,0.359320548,0.71
49,1,1925,FL,48:27.1,1,1,0.28249497,0.23
42,0,2414,CA,23:42.8,0,5,0.670107212,0.32
58,0,616,CA,31:30.4,0,5,0.137000218,0.66
48,0,1667,CA,48:16.4,0,5,0.689015215,0.86
50,0,902,NY,41:13.1,0,5,0.945301916,0.32
49,1,2635,NY,54:30.4,0,5,0.582102258,0.79
43,1,2937,CA,55:04.7,0,5,0.378536289,0.75
40,1,2096,NY,04:53.1,0,5,0.869705857,0.81
56,0,1775,CA,51:54.2,0,5,0.973380659,0.61
58,0,687,FL,11:25.2,0,1,0.612291647,0.99
46,1,2852,FL,39:47.9,1,1,0.124930846,0.31
53,0,1267,NY,43:39.3,0,5,0.926175897,0.1
47,1,1618,CA,11:40.6,0,5,0.983588735,0.52
44,1,2536,CA,39:23.8,0,5,0.736692508,0.55
59,0,1732,IL,06:04.4,0,1,0.467664462,0.77
53,1,413,TX,08:02.5,1,1,0.604336336,0.09
55,1,1488,NY,01:07.7,1,5,0.455674646,0.62
54,1,2477,TX,17:47.6,1,1,0.958714891,0.13
44,0,1183,CA,52:22.2,0,5,0.276120696,0.11
48,0,1719,IL,22:54.1,0,1,0.763467267,0.32
51,1,2112,TX,24:33.1,0,1,0.743515311,0.83
47,1,2880,NY,42:36.0,0,5,0.515175362,0.68
55,0,1244,TX,29:00.8,0,1,0.42213096,0.63
44,0,597,CA,03:20.7,0,5,0.61885657,0.5
42,1,2182,TX,02:33.1,1,1,0.762157055,0.01
52,1,400,FL,53:15.5,1,1,0.125508195,0.1
40,1,1473,NY,18:27.5,0,5,0.253515168,0.6
60,1,1513,FL,15:14.0,1,1,0.936860372,0.52
40,0,1461,IL,45:15.4,0,1,0.653141322,0.64
50,1,2633,IL,56:38.8,0,1,0.391049583,0.9
49,0,565,TX,20:07.3,0,1,0.03326802,0.17
45,1,1214,TX,33:45.2,0,1,0.472809868,0.7
42,1,1684,FL,05:20.2,0,1,0.58572449,0.64
58,0,518,IL,14:00.8,0,1,0.914999982,0.91
46,0,2606,CA,38:50.2,0,5,0.090016468,0.36
40,1,2087,CA,42:03.3,1,5,0.427118164,0.02
44,1,2446,IL,59:11.5,0,1,0.892242157,1
47,1,2346,CA,49:03.2,0,5,0.022023928,0.79
40,1,2976,IL,35:52.9,1,1,0.174070804,0.07
60,0,2455,FL,46:12.2,0,1,0.431602213,0.74
60,0,1147,FL,54:47.8,0,1,0.698358007,0.52
55,0,2677,TX,35:22.1,0,1,0.271426789,0.57
48,0,470,CA,20:06.2,0,5,0.102561457,0.31
42,1,723,FL,05:33.7,0,1,0.898018346,0.45
52,1,2271,TX,43:28.7,1,1,0.225873447,0.18
43,1,2036,TX,03:32.9,0,1,0.326428035,0.9
59,0,2592,IL,09:20.8,0,1,0.955740741,0.46
60,0,2446,NY,07:29.7,0,5,0.407696654,0.02
53,0,857,CA,13:00.5,0,5,0.118024871,0.88
56,1,1925,FL,53:18.8,1,1,0.830462244,0.21
57,1,2717,FL,53:09.7,1,1,0.569201882,0.47
53,0,1307,FL,41:03.8,0,1,0.046973214,0.95
48,1,510,TX,12:10.0,1,1,0.011275691,0.34
56,1,664,NY,05:36.7,1,5,0.291096756,0.04
47,0,1885,FL,10:20.1,0,1,0.933205878,0.52
51,0,984,CA,55:04.5,0,5,0.886786284,0.65
44,1,1987,IL,21:45.6,0,1,0.009382542,0.88
41,0,498,TX,19:44.5,0,1,0.04696081,0.41
54,0,1924,IL,36:08.2,0,1,0.444492215,0.27
41,1,1370,TX,27:42.4,1,1,0.531911349,0.03
50,1,698,CA,16:15.3,1,5,0.380852484,0.49
46,0,987,CA,02:14.4,0,5,0.244756151,0.93
55,0,2718,CA,03:59.9,0,5,0.284186686,0.68
50,0,652,CA,22:40.8,0,5,0.181785733,0.99
53,1,2765,FL,47:24.7,0,1,0.046902482,0.92
59,0,2357,NY,56:06.3,0,5,0.508661704,0.39
56,0,412,CA,52:11.5,0,5,0.418792176,0.65
48,1,2275,CA,50:57.6,1,5,0.670389396,0.1
53,1,2256,CA,09:30.8,1,5,0.479783252,0.21
43,0,1274,FL,37:08.6,0,1,0.635923197,0.85
53,1,653,FL,59:15.4,0,1,0.940383461,0.85
48,1,2590,CA,49:23.6,1,5,0.508887118,0.06
58,1,753,CA,38:01.8,1,5,0.101834933,0.21
57,0,2353,FL,02:10.9,0,1,0.045458967,0.25
55,0,2868,FL,59:19.0,0,1,0.982275273,0.57
57,0,1368,NY,04:03.9,0,5,0.160279354,0.85
58,0,734,TX,11:48.4,0,1,0.517121919,0.11
41,0,1922,NY,30:47.6,0,5,0.160925436,0.98
51,1,1020,TX,23:41.3,0,1,0.486818538,0.91
60,1,2886,CA,03:56.4,1,5,0.200960806,0.36
40,0,1421,FL,03:50.9,0,1,0.502169621,0.92
53,0,1450,IL,00:59.0,0,1,0.644349683,0.69
40,0,858,TX,41:46.8,0,1,0.142424119,0.44
49,1,638,CA,51:27.8,0,5,0.109090885,0.6
41,0,1967,TX,18:11.1,0,1,0.990984052,0.02
58,0,2655,CA,29:17.6,0,5,0.819434025,0.03
47,1,1896,IL,32:29.6,0,1,0.892071515,0.66
52,1,961,FL,45:37.3,1,1,0.592483394,0.45
40,1,2664,NY,38:06.7,1,5,0.36300207,0.11
58,1,2124,TX,00:44.3,0,1,0.910257852,0.72
58,0,2252,IL,34:46.4,0,1,0.576179935,0.25
57,1,1677,FL,25:46.0,1,1,0.256441058,0.61
44,1,1284,FL,56:11.5,0,1,0.794361034,0.71
58,0,1849,TX,04:15.8,0,1,0.201871699,0.37
57,1,1238,NY,05:00.4,0,5,0.711656274,0.81
59,0,504,TX,39:13.5,0,1,0.317086491,0.14
51,1,2344,CA,51:23.6,1,5,0.063192619,0.45
53,0,2444,TX,28:03.7,0,1,0.770358749,0.11
60,0,860,CA,14:13.0,0,5,0.807195552,0.88
48,1,1211,CA,37:14.6,0,5,0.634860122,0.5
46,0,740,CA,28:47.9,0,5,0.96805828,0.98
58,1,1015,IL,35:42.4,1,1,0.260728929,0.61
56,1,2583,FL,22:00.1,1,1,0.16141733,0.14
41,1,2427,FL,16:38.1,0,1,0.087300442,0.86
57,1,2183,CA,03:46.5,1,5,0.610681909,0.36
51,0,1921,CA,54:18.0,0,5,0.244681322,0.99
46,1,1127,CA,36:22.0,1,5,0.539843394,0.03
48,0,895,FL,43:57.8,0,1,0.80947825,0.48
49,1,1456,CA,13:00.0,0,5,0.763533174,0.83
53,0,1327,NY,27:12.0,0,5,0.88069074,0.48
41,1,2287,CA,20:21.3,0,5,0.84319953,0.62
42,1,1514,CA,02:47.2,1,5,0.829749611,0.15
52,0,664,NY,14:41.1,0,5,0.402052519,0.29
60,1,1412,CA,27:50.4,1,5,0.174257816,0.08
46,1,1850,TX,18:50.7,0,1,0.741862364,0.8
58,0,2093,NY,20:45.7,0,5,0.234308573,0.11
41,1,2003,TX,26:59.7,0,1,0.809392294,0.37
49,1,2296,CA,43:16.9,1,5,0.795886698,0.27
41,1,1916,IL,03:00.7,1,1,0.576475098,0.21
48,0,1437,CA,13:00.7,0,5,0.707268211,0.46
51,0,1415,TX,56:21.0,0,1,0.18251405,0.15
42,0,1457,CA,18:33.3,0,5,0.805444883,0.62
47,0,1366,CA,48:06.5,0,5,0.290262648,0.43
43,1,1864,CA,16:58.7,0,5,0.267483041,0.65
49,1,774,NY,43:32.7,0,5,0.221139606,0.84
53,1,1603,FL,44:23.3,1,1,0.515660021,0.29
52,0,979,CA,44:31.2,0,5,0.347057376,0.16
55,0,2933,NY,35:54.6,0,5,0.050091447,0.19
46,1,2799,CA,25:46.6,1,5,0.62241303,0.18
47,1,2106,FL,19:39.0,0,1,0.618822782,0.6
42,0,2765,TX,29:24.8,0,1,0.35614118,0.5
54,1,1877,IL,54:02.7,1,1,0.154020197,0.02
50,1,2817,TX,32:27.1,1,1,0.819611871,0.14
43,1,958,NY,07:02.9,0,5,0.113945817,0.34
45,0,400,CA,53:20.9,0,5,0.821460382,0.36
57,1,570,TX,24:33.4,1,1,0.675377538,0.13
56,0,2321,FL,01:56.3,0,1,0.898202368,0.47
41,0,1292,TX,34:04.6,0,1,0.201596853,0.08
48,0,2058,IL,25:28.3,0,1,0.227421097,0.09
49,0,1237,TX,08:56.3,0,1,0.366799748,0.14
53,0,772,IL,11:33.0,0,1,0.45634929,0.21
47,1,1570,CA,28:24.5,1,5,0.313744929,0.15
60,0,1174,NY,42:08.2,0,5,0.145186608,0.54
58,0,2132,TX,31:34.8,0,1,0.978733654,0.5
53,0,1362,FL,43:31.8,0,1,0.930015937,0.3
49,1,2829,NY,57:25.9,0,5,0.482719173,0.72
55,1,2050,IL,16:57.1,1,1,0.317435984,0.21
53,0,1267,FL,44:34.6,0,1,0.764675985,0.11
41,1,1343,IL,15:54.8,1,1,0.122645002,0.14
59,0,2563,TX,22:03.7,0,1,0.130626476,0.81
55,0,2266,TX,47:55.8,0,1,0.974622188,0.16
58,0,1141,IL,17:47.5,0,1,0.650466605,0.48
44,1,2571,CA,57:35.1,0,5,0.734294319,0.91
56,0,700,CA,47:06.5,0,5,0.473224494,0.33
52,0,2636,CA,52:22.9,0,5,0.45918658,0.19
40,0,1951,FL,41:53.4,0,1,0.816700093,0.18
45,1,2190,CA,25:09.5,0,5,0.945187242,0.66
57,0,1051,CA,02:23.3,0,5,0.319200927,0.96
44,1,1163,CA,06:22.1,1,5,0.371363526,0.25
49,1,1589,TX,19:15.3,1,1,0.79280816,0.23
53,1,1023,IL,10:40.1,0,1,0.007287729,0.72
